Ticker,Ideal Volatility,Mid Market Cap,Reverse Volatility,3yr Sharpe Ratio
NNN,0,0,0,1
NOC,1,0,0,0
NOMD,1,0,0,0
NPO,0,0,0,1
NRG,0,0,0,1
NSA,1,0,0,0
NSP,0,0,0,1
NTAP,0,0,0,1
NTCT,0,0,0,1
NTGR,0,1,0,1
NUE,0,0,0,1
NUVA,0,0,0,1
NVAX,0,0,1,0
NVEE,0,1,0,0
NVTA,0,0,1,0
NWBI,1,0,0,0
NWE,1,0,0,0
NXGN,0,1,0,0
NXRT,0,1,0,0
O,1,0,0,0
OC,0,0,0,1
OCFC,0,1,0,0
OCGN,0,1,1,0
OCSL,0,1,0,1
OCUL,0,1,0,0
OEC,0,1,0,0
OFC,0,0,0,1
OFG,0,1,0,0
OGE,1,0,0,1
OGS,1,0,0,0
OII,0,1,1,0
OLN,0,0,0,1
OMC,0,0,0,1
OMER,0,1,0,0
OMI,0,0,1,0
ON,0,0,0,1
ONB,1,0,0,1
OPI,0,1,0,0
OPK,0,0,1,1
OR,0,0,0,1
ORCL,1,0,0,0
ORI,1,0,0,1
OSTK,0,0,1,1
OTEX,1,0,0,0
OTTR,1,0,0,1
OUT,0,0,0,1
OVV,0,0,1,0
OXM,0,1,0,1
PACB,0,0,1,0
PAM,0,1,0,0
PATK,0,0,0,1
PAYX,1,0,0,0
PB,0,0,0,1
PBF,0,0,1,0
PBI,0,1,1,0
PCAR,1,0,0,0
PDBC,1,0,0,0
PDCE,0,0,1,0
PDCO,0,0,0,1
PDM,0,0,0,1
PDP,1,0,0,0
PEAK,1,0,0,0
PEG,1,0,0,0
PFC,0,1,0,1
PFE,1,0,0,1
PFF,0,0,0,1
PFG,0,0,0,1
PFPT,0,0,0,1
PGEN,0,0,1,0
PGR,1,0,0,0
PGTI,0,1,0,1
PHG,1,0,0,0
PHO,0,1,0,0
PII,0,0,0,1
PINC,0,0,0,1
PIPR,0,0,0,1
PKG,1,0,0,1
PKW,1,0,0,0
PLAY,0,0,0,1
PLCE,0,1,1,0
PLD,1,0,0,0
PLOW,0,1,0,1
PLUG,0,0,1,0
PLUS,0,1,0,1
PLYA,0,1,0,0
PMT,0,0,0,1
PNC,0,0,0,1
PNFP,0,0,0,1
PNM,1,0,0,0
PNR,0,0,0,1
PNW,1,0,0,1
POOL,1,0,0,0
POR,1,0,0,0
POST,1,0,0,0
PPBI,0,0,0,1
PPG,1,0,0,0
PPL,1,0,0,1
PRA,0,1,0,0
PRFZ,0,0,0,1
PRG,0,0,0,1
PRGS,0,0,0,1
PRIM,0,0,0,1
PRMW,0,0,0,1
PRO,0,0,0,1
PRTA,0,1,0,0
PSB,1,0,0,0
PSEC,0,0,0,1
PSMT,0,0,0,1
PSO,0,0,0,1
PSTG,0,0,0,1
PTEN,0,1,0,0
QADA,0,1,0,0
QNST,0,1,0,0
QQEW,1,1,0,0
QQQ,1,0,0,0
QSR,0,0,0,1
QTEC,1,0,0,0
QTS,1,0,0,0
QUOT,0,1,0,1
QURE,0,1,0,1
RAD,0,1,0,0
RAVN,0,1,0,0
RBBN,0,1,0,0
RCI,0,0,0,1
RDN,0,0,0,1
RDNT,0,1,0,0
RDUS,0,1,0,0
RDVY,1,0,0,0
RDWR,1,1,0,1
RES,0,1,0,0
RF,0,0,0,1
RGNX,0,1,0,1
RGR,0,1,0,0
RHI,0,0,0,1
RHP,0,0,0,1
RIG,0,0,1,0
RILY,0,1,0,0
RIOT,0,0,1,0
RL,0,0,0,1
